model,sample_group,n,label_acceptable,acceptance_rate,rejection_rate,score_mean,score_median,score_q10,score_q90,threshold,AUC_pairwise
MLP selected-five,original acceptable,116,1,0.9310344827586207,0.06896551724137931,0.9351818896214774,0.9999208779866209,0.9044479275397724,0.9999961517529847,0.6295000000000001,
MLP selected-five,original unacceptable,33,0,0.3333333333333333,0.6666666666666666,0.3300010652709453,0.00012449872522567475,1.6974338694710933e-05,0.999375661562758,0.6295000000000001,
MLP selected-five,synthetic em,41,0,0.0,1.0,0.008836922635172235,0.0002161527757929256,1.1587185788961715e-06,0.005634998339448337,0.6295000000000001,
MLP selected-five,synthetic ma,41,0,0.0,1.0,0.00018504620730045443,4.343813781268776e-06,4.780507221447445e-08,0.0003537254215143851,0.6295000000000001,
MLP selected-five,acceptable vs original unacceptable,149,-1,,,,,,,0.6295000000000001,0.8644200626959249
MLP selected-five,acceptable vs synthetic em,157,-1,,,,,,,0.6295000000000001,0.9890664423885618
MLP selected-five,acceptable vs synthetic ma,157,-1,,,,,,,0.6295000000000001,0.9945332211942809
SVM selected-five,original acceptable,116,1,0.9655172413793104,0.034482758620689655,0.9042580532511226,0.9616482272058531,0.7163230205020793,0.9928966969659325,0.5215,
SVM selected-five,original unacceptable,33,0,0.30303030303030304,0.696969696969697,0.3327596171265455,0.09956085999373104,0.011740192401970405,0.9464181731004746,0.5215,
SVM selected-five,synthetic em,41,0,0.0,1.0,0.05522769695511747,0.038896531220305605,0.009954560698509774,0.11014116690912974,0.5215,
SVM selected-five,synthetic ma,41,0,0.0,1.0,0.01634743276643054,0.0072792670397127885,0.0030568660681837214,0.043433878916120765,0.5215,
SVM selected-five,acceptable vs original unacceptable,149,-1,,,,,,,0.5215,0.8753918495297807
SVM selected-five,acceptable vs synthetic em,157,-1,,,,,,,0.5215,0.9936921783010934
SVM selected-five,acceptable vs synthetic ma,157,-1,,,,,,,0.5215,0.9987384356602187
SVM bSQI,original acceptable,116,1,0.9741379310344828,0.02586206896551724,0.818358606402736,0.8417358764306773,0.6382985559430852,0.9756707559221116,0.3745,
SVM bSQI,original unacceptable,33,0,0.3333333333333333,0.6666666666666666,0.29954305670361686,0.08934096879279163,0.0003284677257118795,0.8770971211535123,0.3745,
SVM bSQI,synthetic em,41,0,0.3170731707317073,0.6829268292682927,0.2429053319400575,0.11384265968288827,0.010006356179818654,0.659102429786385,0.3745,
SVM bSQI,synthetic ma,41,0,0.04878048780487805,0.9512195121951219,0.060965034746626214,0.002704993576542639,0.00048488908247360874,0.1049448357539555,0.3745,
SVM bSQI,acceptable vs original unacceptable,149,-1,,,,,,,0.3745,0.8665099268547544
SVM bSQI,acceptable vs synthetic em,157,-1,,,,,,,0.3745,0.9542682926829269
SVM bSQI,acceptable vs synthetic ma,157,-1,,,,,,,0.3745,0.9854920100925147
SVM iSQI,original acceptable,116,1,0.7155172413793104,0.28448275862068967,0.7457418835241753,0.9421207739062374,0.24031188457460534,0.9602112344589061,0.606,
SVM iSQI,original unacceptable,33,0,0.09090909090909091,0.9090909090909091,0.3040245194851711,0.24031188457460534,0.23899663940012736,0.3291130270806328,0.606,
SVM iSQI,synthetic em,41,0,0.12195121951219512,0.8780487804878049,0.2877473623234522,0.21766634329286733,0.07416927531776751,0.7008452825260039,0.606,
SVM iSQI,synthetic ma,41,0,0.07317073170731707,0.926829268292683,0.24312909748459072,0.18454568717949923,0.12066045302307245,0.416228865119138,0.606,
SVM iSQI,acceptable vs original unacceptable,149,-1,,,,,,,0.606,0.8260188087774295
SVM iSQI,acceptable vs synthetic em,157,-1,,,,,,,0.606,0.8830950378469301
SVM iSQI,acceptable vs synthetic ma,157,-1,,,,,,,0.606,0.9064339781328847
SVM kSQI,original acceptable,116,1,0.9827586206896551,0.017241379310344827,0.8008541496275119,0.8733044723851624,0.5,0.992860065844122,0.196,
SVM kSQI,original unacceptable,33,0,0.5454545454545454,0.45454545454545453,0.40992787467503694,0.35086489292797457,0.12132141522992194,0.8497176153901465,0.196,
SVM kSQI,synthetic em,41,0,0.0,1.0,0.13323940522596361,0.12912622215001815,0.10909655467207405,0.16118501166848853,0.196,
SVM kSQI,synthetic ma,41,0,0.0,1.0,0.12176376962658504,0.12054353684839955,0.1058902662738347,0.1386355044692449,0.196,
SVM kSQI,acceptable vs original unacceptable,149,-1,,,,,,,0.196,0.8364681295715778
SVM kSQI,acceptable vs synthetic em,157,-1,,,,,,,0.196,0.9974768713204374
SVM kSQI,acceptable vs synthetic ma,157,-1,,,,,,,0.196,0.9997897392767031
SVM sSQI,original acceptable,116,1,0.9137931034482759,0.08620689655172414,0.8539702174448242,0.9576018899242076,0.5838670772979644,0.9914356366096274,0.284,
SVM sSQI,original unacceptable,33,0,0.42424242424242425,0.5757575757575758,0.3796369198198023,0.13225423460046967,0.08521742564047131,0.9676284897056947,0.284,
SVM sSQI,synthetic em,41,0,0.0,1.0,0.06537333232330093,0.060197941785523415,0.04015739999072041,0.09629136325948423,0.284,
SVM sSQI,synthetic ma,41,0,0.0,1.0,0.0802078484926834,0.07039020742864247,0.044911024631075096,0.10635450750819224,0.284,
SVM sSQI,acceptable vs original unacceptable,149,-1,,,,,,,0.284,0.8343782654127481
SVM sSQI,acceptable vs synthetic em,157,-1,,,,,,,0.284,0.9743481917577796
SVM sSQI,acceptable vs synthetic ma,157,-1,,,,,,,0.284,0.968040370058873
SVM pSQI,original acceptable,116,1,0.9741379310344828,0.02586206896551724,0.5744019113170549,0.6128047138708961,0.391821100749034,0.7167944538519941,0.242,
SVM pSQI,original unacceptable,33,0,0.6363636363636364,0.36363636363636365,0.4209510943441799,0.5,0.16192272566054558,0.7168031427227803,0.242,
SVM pSQI,synthetic em,41,0,1.0,0.0,0.5927340218998118,0.6058513846433253,0.5,0.6562398444577835,0.242,
SVM pSQI,synthetic ma,41,0,0.34146341463414637,0.6585365853658537,0.2178719373964046,0.1165014124275924,0.034947163068543154,0.6088384755017906,0.242,
SVM pSQI,acceptable vs original unacceptable,149,-1,,,,,,,0.242,0.6867816091954023
SVM pSQI,acceptable vs synthetic em,157,-1,,,,,,,0.242,0.5082001682085786
SVM pSQI,acceptable vs synthetic ma,157,-1,,,,,,,0.242,0.8946593776282591
SVM fSQI,original acceptable,116,1,1.0,0.0,0.5502271935032949,0.551453778420635,0.5483277051552949,0.5551383072334611,0.1995,
SVM fSQI,original unacceptable,33,0,0.45454545454545453,0.5454545454545454,0.24733052928427365,0.07538343642116589,0.0028732342924379455,0.5550719544652554,0.1995,
SVM fSQI,synthetic em,41,0,1.0,0.0,0.5559090808924352,0.5559812436577943,0.5543563974760096,0.5577660910938641,0.1995,
SVM fSQI,synthetic ma,41,0,1.0,0.0,0.5563397673293472,0.5566550283529027,0.5552996496792565,0.5571977600721592,0.1995,
SVM fSQI,acceptable vs original unacceptable,149,-1,,,,,,,0.1995,0.7520898641588297
SVM fSQI,acceptable vs synthetic em,157,-1,,,,,,,0.1995,0.05677039529015981
SVM fSQI,acceptable vs synthetic ma,157,-1,,,,,,,0.1995,0.03532380151387722
SVM basSQI,original acceptable,116,1,0.8706896551724138,0.12931034482758622,0.8135778890245042,0.9022465578720417,0.5234567977145342,0.9592795402193748,0.594,
SVM basSQI,original unacceptable,33,0,0.3333333333333333,0.6666666666666666,0.37310015362813215,0.21829845539534182,0.009276387450858736,0.9181024169762936,0.594,
SVM basSQI,synthetic em,41,0,0.0,1.0,0.13034439053498345,0.11820872980172667,0.054509918755351196,0.23165693504684787,0.594,
SVM basSQI,synthetic ma,41,0,0.024390243902439025,0.975609756097561,0.08207293006998169,0.036981889347355405,0.011088671843437993,0.19847503255966042,0.594,
SVM basSQI,acceptable vs original unacceptable,149,-1,,,,,,,0.594,0.8380355276907001
SVM basSQI,acceptable vs synthetic em,157,-1,,,,,,,0.594,0.9859125315391085
SVM basSQI,acceptable vs synthetic ma,157,-1,,,,,,,0.594,0.9894869638351556
