feature,abs_z_mean_gap
V3_diff95,3.132221824554836
amp_entropy,2.617542844938164
V5_diff95,1.0382776675943597
V6_rms,0.970808646415336
V6_q10,0.9557603991502498
V6_q50,0.9178483035849572
V1_high_rms,0.9150871121071588
V6_high_rms,0.9100273319877628
V1_rms,0.8986423515044943
V1_q10,0.8876477011511538
V4_rms,0.8841959167600575
V6_q90,0.8823131911497993
V4_q10,0.8818213195756738
V3_rms,0.8613138014848228
V1_q50,0.860941306593572
V3_q90,0.8606835431663501
V2_rms,0.8523128525914999
V3_q10,0.8493679250805491
V4_q50,0.8477180142507783
V2_q10,0.8458851335029018
