record_id,y,quality_record,candidate_type,is_augmented,panel,group,PC1,PC2,noise_type
r00000,-1,unacceptable,original_seta,0,ours,original unacceptable,20.599467681124842,0.5833168737852866,
r00001,1,acceptable,original_seta,0,ours,original acceptable,-4.002765128194916,2.509186554671686,
r00002,-1,unacceptable,original_seta,0,ours,original unacceptable,2.7565814419455092,-4.930289313649273,
r00003,-1,unacceptable,original_seta,0,ours,original unacceptable,-2.993709797412957,-2.43904009159164,
r00004,1,acceptable,original_seta,0,ours,original acceptable,-3.4062682599578142,2.4983051557318983,
r00005,-1,unacceptable,original_seta,0,ours,original unacceptable,21.01039658736097,0.4146402096918428,
r00006,1,acceptable,original_seta,0,ours,original acceptable,-1.326086251006007,-0.1402091415371701,
r00007,1,acceptable,original_seta,0,ours,original acceptable,-2.86219431401536,2.375565505667533,
r00008,1,acceptable,original_seta,0,ours,original acceptable,-3.7527351785039467,2.3384927050694575,
r00009,1,acceptable,original_seta,0,ours,original acceptable,-2.8691543494716107,2.1738766277646175,
r00010,1,acceptable,original_seta,0,ours,original acceptable,-0.6635423795699967,-4.888549526068106,
r00011,1,acceptable,original_seta,0,ours,original acceptable,-3.1812632771725435,1.7883251800151538,
r00012,1,acceptable,original_seta,0,ours,original acceptable,-2.045422108487395,-0.3512666503488906,
r00013,1,acceptable,original_seta,0,ours,original acceptable,-0.6615258450326281,-4.928137435595013,
r00014,-1,unacceptable,original_seta,0,ours,original unacceptable,-0.428936141473308,-4.778791604740731,
r00015,1,acceptable,original_seta,0,ours,original acceptable,-3.355869407178611,2.3557090676490544,
r00016,1,acceptable,original_seta,0,ours,original acceptable,-2.96032869681455,2.6043682589200725,
r00017,1,acceptable,original_seta,0,ours,original acceptable,-3.5427329423289287,2.590444017749719,
r00018,-1,unacceptable,original_seta,0,ours,original unacceptable,20.599467681124842,0.5833168737852866,
r00019,-1,unacceptable,original_seta,0,ours,original unacceptable,2.984781195056804,-2.0975927231841744,
r00020,1,acceptable,original_seta,0,ours,original acceptable,-4.080682446262273,2.325991185383606,
r00021,-1,unacceptable,original_seta,0,ours,original unacceptable,2.748975060439852,-4.486446562726798,
r00022,1,acceptable,original_seta,0,ours,original acceptable,-2.84159453084984,0.6083933400637546,
r00023,-1,unacceptable,original_seta,0,ours,original unacceptable,20.599467681124842,0.5833168737852866,
r00024,1,acceptable,original_seta,0,ours,original acceptable,-3.36637588607787,2.480750100267588,
r00025,1,acceptable,original_seta,0,ours,original acceptable,-3.7126219397707465,2.381364803624401,
r00026,1,acceptable,original_seta,0,ours,original acceptable,-3.169836354941295,2.5469394489143826,
r00027,-1,unacceptable,original_seta,0,ours,original unacceptable,1.1525426209951841,-4.592658721361982,
r00028,-1,unacceptable,original_seta,0,ours,original unacceptable,-1.027436098747658,-3.797317719459068,
r00029,1,acceptable,original_seta,0,ours,original acceptable,-3.0148719472829457,2.6582533335253444,
r00030,1,acceptable,original_seta,0,ours,original acceptable,-1.4414987048240058,-3.778859738864563,
r00031,1,acceptable,original_seta,0,ours,original acceptable,-4.0801922171316365,2.5473071253720567,
r00032,-1,unacceptable,original_seta,0,ours,original unacceptable,-2.0132169117285725,-3.840282941328963,
r00033,-1,unacceptable,original_seta,0,ours,original unacceptable,13.456887418291874,-1.9934034725582772,
r00034,1,acceptable,original_seta,0,ours,original acceptable,-2.233285910515393,1.3086039207486537,
r00035,1,acceptable,original_seta,0,ours,original acceptable,-3.6457437152699215,2.4049358226990196,
r00036,1,acceptable,original_seta,0,ours,original acceptable,-2.430226342389509,-3.4454030936598214,
r00037,1,acceptable,original_seta,0,ours,original acceptable,-3.3892031227708834,2.4889467675523695,
r00038,-1,unacceptable,original_seta,0,ours,original unacceptable,-0.29673507866474247,-5.072512461592625,
r00039,1,acceptable,original_seta,0,ours,original acceptable,-2.8376881232161324,-0.5594811002440003,
r00040,1,acceptable,original_seta,0,ours,original acceptable,-2.6892931875484436,2.5489952042962756,
r00041,-1,unacceptable,original_seta,0,ours,original unacceptable,0.44402181132549584,-4.593015873254483,
r00042,1,acceptable,original_seta,0,ours,original acceptable,-1.3673138995876444,-4.787036820209411,
r00043,1,acceptable,original_seta,0,ours,original acceptable,-1.0197577723809814,-4.964956161585576,
r00044,1,acceptable,original_seta,0,ours,original acceptable,-2.5210939288960392,-1.0499915885028328,
r00045,1,acceptable,original_seta,0,ours,original acceptable,-3.1958809907471357,1.2915837601005076,
r00046,-1,unacceptable,original_seta,0,ours,original unacceptable,20.599467681124842,0.5833168737852866,
r00047,-1,unacceptable,original_seta,0,ours,original unacceptable,20.599467681124842,0.5833168737852866,
r00048,1,acceptable,original_seta,0,ours,original acceptable,-2.5247525081897764,2.511959001190988,
r00049,1,acceptable,original_seta,0,ours,original acceptable,-3.917727898716977,2.3629836370525927,
r00050,1,acceptable,original_seta,0,ours,original acceptable,-3.2989189162008525,2.4910965134804766,
r00051,-1,unacceptable,original_seta,0,ours,original unacceptable,1.6574596369539287,-4.600833265607574,
r00052,-1,unacceptable,original_seta,0,ours,original unacceptable,0.6318881672979717,-4.836495108671875,
r00053,1,acceptable,original_seta,0,ours,original acceptable,-1.2328666351181983,-3.9084188655698835,
r00054,1,acceptable,original_seta,0,ours,original acceptable,-2.664178148595001,-1.6242846908385489,
r00055,1,acceptable,original_seta,0,ours,original acceptable,0.012267717472444291,-1.8390278904119595,
r00056,1,acceptable,original_seta,0,ours,original acceptable,-3.4429189746975157,2.3388520358847193,
r00057,1,acceptable,original_seta,0,ours,original acceptable,-3.5553331216886783,1.2751263976261757,
r00058,1,acceptable,original_seta,0,ours,original acceptable,0.9364218868845647,-4.8897775978340565,
r00059,-1,unacceptable,original_seta,0,ours,original unacceptable,0.06031302738255974,-5.071600594502953,
r00060,1,acceptable,original_seta,0,ours,original acceptable,-3.174572380584287,0.9256701628735169,
r00061,1,acceptable,original_seta,0,ours,original acceptable,-3.4574989155982707,2.496573855016956,
r00062,-1,unacceptable,original_seta,0,ours,original unacceptable,0.5323515742868532,-4.124687944875799,
r00063,1,acceptable,original_seta,0,ours,original acceptable,-3.089031777849339,2.5985134247420736,
r00064,1,acceptable,original_seta,0,ours,original acceptable,-2.9059238954284865,2.319225972187881,
r00065,1,acceptable,original_seta,0,ours,original acceptable,-2.402575539577914,2.546871503895295,
r00066,1,acceptable,original_seta,0,ours,original acceptable,-3.7442477460561765,2.426409731185989,
r00067,1,acceptable,original_seta,0,ours,original acceptable,-2.8253398916138726,1.7230760334720592,
r00068,1,acceptable,original_seta,0,ours,original acceptable,-3.101918860711632,0.10948069262209778,
r00069,1,acceptable,original_seta,0,ours,original acceptable,-0.0771641968384552,-3.6322142566240583,
r00070,1,acceptable,original_seta,0,ours,original acceptable,-2.126047247584503,-1.966684863748711,
r00071,1,acceptable,original_seta,0,ours,original acceptable,-4.139835255221745,2.240094256871942,
r00072,1,acceptable,original_seta,0,ours,original acceptable,-3.966370051622804,2.4442951761734135,
r00073,1,acceptable,original_seta,0,ours,original acceptable,-1.7638570933491347,-2.8303641957335075,
r00074,-1,unacceptable,original_seta,0,ours,original unacceptable,20.599467681124842,0.5833168737852866,
r00075,1,acceptable,original_seta,0,ours,original acceptable,-2.597963988118813,2.5675979907650026,
r00076,1,acceptable,original_seta,0,ours,original acceptable,-3.092514321727178,2.496246728815845,
r00077,-1,unacceptable,original_seta,0,ours,original unacceptable,-0.45090096013186404,-3.5061601559900573,
r00078,-1,unacceptable,original_seta,0,ours,original unacceptable,0.1308445592790979,-4.4219532357343585,
r00079,1,acceptable,original_seta,0,ours,original acceptable,-3.3322448185692783,2.4988351537562274,
r00080,1,acceptable,original_seta,0,ours,original acceptable,-3.5825157477990226,2.5075027079674976,
r00081,-1,unacceptable,original_seta,0,ours,original unacceptable,0.02140357238418769,-3.109524409160707,
r00082,-1,unacceptable,original_seta,0,ours,original unacceptable,-0.2526568866390812,-4.542489101686349,
r00083,1,acceptable,original_seta,0,ours,original acceptable,-3.033766714874333,2.6235707244840825,
r00084,1,acceptable,original_seta,0,ours,original acceptable,-1.877431489031541,-1.084760392111961,
r00085,1,acceptable,original_seta,0,ours,original acceptable,-2.2674249732044607,0.5746260100570528,
r00086,-1,unacceptable,original_seta,0,ours,original unacceptable,-0.11854793589763907,-4.805675335849306,
r00087,-1,unacceptable,original_seta,0,ours,original unacceptable,-2.0647272592160566,-2.391396563603833,
r00088,1,acceptable,original_seta,0,ours,original acceptable,-1.5153629048709538,-3.7555194934694716,
r00089,-1,unacceptable,original_seta,0,ours,original unacceptable,0.7105502593148001,-4.610082554041974,
r00090,-1,unacceptable,original_seta,0,ours,original unacceptable,0.12367204572406003,-5.00723894919213,
r00091,1,acceptable,original_seta,0,ours,original acceptable,-3.185817189953238,2.4606881200330153,
r00092,1,acceptable,original_seta,0,ours,original acceptable,-2.947762033824381,1.9727717863001362,
r00093,1,acceptable,original_seta,0,ours,original acceptable,-2.856924932490407,1.7936996197393955,
r00094,1,acceptable,original_seta,0,ours,original acceptable,-3.277478397947538,2.4457594742184914,
r00095,-1,unacceptable,original_seta,0,ours,original unacceptable,-0.3939383356656491,-4.725486184674054,
r00096,1,acceptable,original_seta,0,ours,original acceptable,-1.3095936321934474,-3.749370954327026,
r00097,1,acceptable,original_seta,0,ours,original acceptable,-4.386534676457877,2.5510068136301904,
r00098,1,acceptable,original_seta,0,ours,original acceptable,-4.103083275814119,1.9675896884763555,
r00099,1,acceptable,original_seta,0,ours,original acceptable,-3.6085916836292466,2.5228310458633403,
r00100,-1,unacceptable,original_seta,0,ours,original unacceptable,-2.4810872848595564,-3.7781752488451645,
r00101,-1,unacceptable,original_seta,0,ours,original unacceptable,-0.040749382837814166,1.8112791913567057,
r00102,-1,unacceptable,original_seta,0,ours,original unacceptable,1.4309566608188615,-4.793726241378313,
r00103,1,acceptable,original_seta,0,ours,original acceptable,-3.508034965165881,2.5249376084433033,
r00104,1,acceptable,original_seta,0,ours,original acceptable,-3.066045828223294,1.3854441579971362,
r00105,-1,unacceptable,original_seta,0,ours,original unacceptable,2.2507751106090153,-4.4849283371214606,
r00106,1,acceptable,original_seta,0,ours,original acceptable,-3.0989933335093474,2.50720047904411,
r00107,-1,unacceptable,original_seta,0,ours,original unacceptable,15.407942543259692,-1.4174171152447703,
r00108,1,acceptable,original_seta,0,ours,original acceptable,-3.410662995993179,0.7372799907869461,
