idx,split,class_name,v116_candidate_type,domain,PC1,PC2,coordinate_basis
10530,train,medium,original_but,original BUT,-0.4318519589743972,-0.9369201645202072,v116_shared_pca_44_features_fit_original_train
10531,train,medium,original_but,original BUT,-1.9319364526966956,-1.9024286213439245,v116_shared_pca_44_features_fit_original_train
10534,train,medium,original_but,original BUT,-0.7754768655360278,-0.578937223892189,v116_shared_pca_44_features_fit_original_train
10535,train,medium,original_but,original BUT,0.007702184171334947,-0.4523412077060267,v116_shared_pca_44_features_fit_original_train
10536,train,medium,original_but,original BUT,-0.05735934771722184,-0.058550711024548785,v116_shared_pca_44_features_fit_original_train
10537,train,medium,original_but,original BUT,0.5114106782540332,-0.04995840852110407,v116_shared_pca_44_features_fit_original_train
10538,train,medium,original_but,original BUT,-0.5782216753214298,-0.8435213159824495,v116_shared_pca_44_features_fit_original_train
10539,train,medium,original_but,original BUT,0.5191032027455035,-0.015936663182838977,v116_shared_pca_44_features_fit_original_train
10540,train,medium,original_but,original BUT,1.3904070093840373,0.31942151785238865,v116_shared_pca_44_features_fit_original_train
10541,train,medium,original_but,original BUT,2.331406974555688,0.4227525678191013,v116_shared_pca_44_features_fit_original_train
10542,train,medium,original_but,original BUT,2.295953115612866,0.6638210362353192,v116_shared_pca_44_features_fit_original_train
10544,train,medium,original_but,original BUT,1.9789006185233367,0.7727923033844963,v116_shared_pca_44_features_fit_original_train
10545,train,medium,original_but,original BUT,2.138612701406347,1.0758563730622088,v116_shared_pca_44_features_fit_original_train
10546,train,medium,original_but,original BUT,2.3141202333276105,0.7711437076330638,v116_shared_pca_44_features_fit_original_train
10547,train,medium,original_but,original BUT,2.810288260182973,0.9063504114293706,v116_shared_pca_44_features_fit_original_train
10548,train,medium,original_but,original BUT,-1.8200664712480448,-1.6241881933258229,v116_shared_pca_44_features_fit_original_train
10550,train,medium,original_but,original BUT,-8.770093144398905,-4.868662388229461,v116_shared_pca_44_features_fit_original_train
10551,train,medium,original_but,original BUT,-5.78843455042945,-4.765133663697471,v116_shared_pca_44_features_fit_original_train
10552,train,medium,original_but,original BUT,-2.0960657667223246,-2.9860684162946605,v116_shared_pca_44_features_fit_original_train
10554,train,medium,original_but,original BUT,0.6101157333885879,-1.511306219264136,v116_shared_pca_44_features_fit_original_train
10555,train,medium,original_but,original BUT,-6.308842116691233,-6.231066310654587,v116_shared_pca_44_features_fit_original_train
10556,train,medium,original_but,original BUT,-5.771311778443971,-5.505706255820971,v116_shared_pca_44_features_fit_original_train
10557,train,medium,original_but,original BUT,-6.386104014468636,-4.8286671654585245,v116_shared_pca_44_features_fit_original_train
10558,train,medium,original_but,original BUT,-5.879430016540333,-4.8052897532261,v116_shared_pca_44_features_fit_original_train
10559,train,medium,original_but,original BUT,-5.014689226762723,-4.4115941354230195,v116_shared_pca_44_features_fit_original_train
10561,train,medium,original_but,original BUT,-6.990001193941431,-5.191367286174437,v116_shared_pca_44_features_fit_original_train
10562,train,medium,original_but,original BUT,-6.539939939127324,-5.276340759575991,v116_shared_pca_44_features_fit_original_train
10563,train,medium,original_but,original BUT,-5.59595171038157,-4.006353091359269,v116_shared_pca_44_features_fit_original_train
10564,train,medium,original_but,original BUT,-4.464284742017663,-3.407936961961414,v116_shared_pca_44_features_fit_original_train
10565,train,medium,original_but,original BUT,-2.943054605962812,-3.286242475249434,v116_shared_pca_44_features_fit_original_train
10566,train,medium,original_but,original BUT,-5.967278994194183,-4.4668874895590305,v116_shared_pca_44_features_fit_original_train
10567,train,medium,original_but,original BUT,-6.061501386543716,-5.424578303557789,v116_shared_pca_44_features_fit_original_train
10568,train,medium,original_but,original BUT,-6.524768267639523,-4.523965169031048,v116_shared_pca_44_features_fit_original_train
10569,train,medium,original_but,original BUT,-4.535152374975352,-3.459670526815261,v116_shared_pca_44_features_fit_original_train
10570,train,medium,original_but,original BUT,-7.109670565383231,-5.956677498234942,v116_shared_pca_44_features_fit_original_train
10571,train,medium,original_but,original BUT,-5.893723977341407,-4.775144611236752,v116_shared_pca_44_features_fit_original_train
10572,train,medium,original_but,original BUT,-7.020550148651731,-5.211949164876465,v116_shared_pca_44_features_fit_original_train
10573,train,medium,original_but,original BUT,-3.9268941437233518,-3.385297675416978,v116_shared_pca_44_features_fit_original_train
10574,train,medium,original_but,original BUT,-2.3405857312358904,-2.592120446238098,v116_shared_pca_44_features_fit_original_train
10575,train,medium,original_but,original BUT,-1.6768544538088017,-2.8712553897363513,v116_shared_pca_44_features_fit_original_train
10576,train,medium,original_but,original BUT,-7.478716726221345,-4.446263946734937,v116_shared_pca_44_features_fit_original_train
10577,train,medium,original_but,original BUT,-3.025332220764565,-2.9682907105937413,v116_shared_pca_44_features_fit_original_train
10579,train,medium,original_but,original BUT,-5.463975365815065,-4.278643117756032,v116_shared_pca_44_features_fit_original_train
10580,train,medium,original_but,original BUT,-4.296039288839941,-3.800758352882312,v116_shared_pca_44_features_fit_original_train
10581,train,medium,original_but,original BUT,-4.295510895274095,-3.0163181114707975,v116_shared_pca_44_features_fit_original_train
10582,train,medium,original_but,original BUT,-1.6709128351451743,-2.4546163202728093,v116_shared_pca_44_features_fit_original_train
10583,train,medium,original_but,original BUT,-7.6015424202517945,-5.9525902214135975,v116_shared_pca_44_features_fit_original_train
10584,train,medium,original_but,original BUT,-4.220603715905348,-4.48058187268496,v116_shared_pca_44_features_fit_original_train
10585,train,medium,original_but,original BUT,-3.7953862591803866,-3.5550685843674783,v116_shared_pca_44_features_fit_original_train
10586,train,medium,original_but,original BUT,-9.55975814255195,-5.175522030071356,v116_shared_pca_44_features_fit_original_train
10587,train,medium,original_but,original BUT,-7.272532306164406,-5.99362677600848,v116_shared_pca_44_features_fit_original_train
10588,train,medium,original_but,original BUT,-8.660536337954245,-6.6588998010911995,v116_shared_pca_44_features_fit_original_train
10589,train,medium,original_but,original BUT,-6.625236965763657,-4.612968312608616,v116_shared_pca_44_features_fit_original_train
10590,train,medium,original_but,original BUT,-3.2889263905555013,-3.9018119286153143,v116_shared_pca_44_features_fit_original_train
