panel,column,column_title,row,idx,time_s,amplitude_au,class_name,candidate_type,display_subtype,record_id,source_idx,native_donor_id
D5,1,Medium / BUT native morph,original,11634,0.0,-0.00491124065592885,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.008,-0.07278304547071457,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.016,-0.07012076675891876,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.024,-0.08406542241573334,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.032,-0.05819567292928696,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.04,-0.04268989711999893,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.048,-0.012586916796863079,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.056,-0.020793860778212547,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.064,-0.03222023323178291,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.072,-0.011692525818943977,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.08,-0.02769608423113823,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.088,-0.01851585879921913,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.096,-0.022520162165164948,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.104,-0.03157049044966698,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.112,-0.035777609795331955,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.12,-0.015052811242640018,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.128,0.004108295310288668,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.136,0.019079584628343582,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.144,0.017711691558361053,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.152,0.019349776208400726,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.16,-0.0034457636065781116,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.168,-0.0284197386354208,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.176,-0.06727913022041321,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.184,-0.08339187502861023,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.192,-0.1147986575961113,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.2,-0.10387887060642242,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.208,-0.12418653070926666,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.216,-0.08904098719358444,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.224,-0.07702039182186127,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.232,-0.03932277858257294,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.24,-0.029793012887239456,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.248,0.04582739621400833,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.256,0.13373489677906036,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.264,0.09659519046545029,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.272,0.08173372596502304,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.28,0.04976825416088104,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.288,0.038072619587183,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.296,0.01647745817899704,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.304,0.027582265436649323,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.312,0.016618194058537483,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.32,0.0280452873557806,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.328,0.03729771450161934,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.336,0.07430314272642136,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.344,0.1343214511871338,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.352,0.21272768080234528,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.36,0.2199593484401703,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.368,0.20064711570739746,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.376,0.22707942128181458,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.384,0.2759760022163391,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.392,0.27419179677963257,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.4,0.2616703510284424,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.408,0.1997421234846115,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.416,0.08714629709720612,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.424,0.020221104845404625,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.432,-0.007137228734791279,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.44,-0.034335922449827194,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.448,-0.041017696261405945,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.456,-0.0602639764547348,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.464,-0.0627550333738327,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.472,-0.07096852362155914,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.48,-0.11375480145215988,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.488,-0.16412977874279022,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.496,-0.03891109302639961,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.504,0.48556551337242126,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.512,0.9271356463432312,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.52,0.9953216910362244,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.528,0.3315097987651825,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.536,-0.17954528331756592,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.544,-0.0586654394865036,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.552,-0.13078400492668152,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.56,-0.12351532280445099,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.568,-0.12629003822803497,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.576,-0.10540441423654556,medium,original_but,medium_clean_core,100001,6271,6271.0
D5,1,Medium / BUT native morph,original,11634,0.584,-0.12940089404582977,medium,original_but,medium_clean_core,100001,6271,6271.0
