perturbation,severity,time_s,value,window_start_s,window_stop_s
hf_burst,0.0,0.0,0.04691604897379875,1.0,1.496
hf_burst,0.0,0.008,0.11126823723316193,1.0,1.496
hf_burst,0.0,0.016,0.141927108168602,1.0,1.496
hf_burst,0.0,0.024,0.11527658998966217,1.0,1.496
hf_burst,0.0,0.032,0.14348135888576508,1.0,1.496
hf_burst,0.0,0.04,0.12666526436805725,1.0,1.496
hf_burst,0.0,0.048,0.06607327610254288,1.0,1.496
hf_burst,0.0,0.056,-0.002770249731838703,1.0,1.496
hf_burst,0.0,0.064,-0.03809470683336258,1.0,1.496
hf_burst,0.0,0.072,-0.06299366056919098,1.0,1.496
hf_burst,0.0,0.08,-0.05646204948425293,1.0,1.496
hf_burst,0.0,0.088,-0.057121459394693375,1.0,1.496
hf_burst,0.0,0.096,-0.054953206330537796,1.0,1.496
hf_burst,0.0,0.104,-0.0660407543182373,1.0,1.496
hf_burst,0.0,0.112,-0.048983339220285416,1.0,1.496
hf_burst,0.0,0.12,-0.0626763254404068,1.0,1.496
hf_burst,0.0,0.128,-0.04914722591638565,1.0,1.496
hf_burst,0.0,0.136,-0.08236455917358398,1.0,1.496
hf_burst,0.0,0.144,-0.06886656582355499,1.0,1.496
hf_burst,0.0,0.152,0.2887269854545593,1.0,1.496
hf_burst,0.0,0.16,1.166519045829773,1.0,1.496
hf_burst,0.0,0.168,1.7185750007629395,1.0,1.496
hf_burst,0.0,0.176,1.650996208190918,1.0,1.496
hf_burst,0.0,0.184,0.5455122590065002,1.0,1.496
hf_burst,0.0,0.192,-0.05707525834441185,1.0,1.496
hf_burst,0.0,0.2,0.08588381111621857,1.0,1.496
hf_burst,0.0,0.208,-0.002342312363907695,1.0,1.496
hf_burst,0.0,0.216,-0.009493650868535042,1.0,1.496
hf_burst,0.0,0.224,-0.04243910312652588,1.0,1.496
hf_burst,0.0,0.232,-0.033846352249383926,1.0,1.496
hf_burst,0.0,0.24,-0.06167317181825638,1.0,1.496
hf_burst,0.0,0.248,-0.031126532703638077,1.0,1.496
hf_burst,0.0,0.256,-0.027415022253990173,1.0,1.496
hf_burst,0.0,0.264,-0.02432050183415413,1.0,1.496
hf_burst,0.0,0.272,-0.017842842265963554,1.0,1.496
hf_burst,0.0,0.28,-0.009311349131166935,1.0,1.496
hf_burst,0.0,0.288,0.00601536501199007,1.0,1.496
hf_burst,0.0,0.296,-0.0002929306065198034,1.0,1.496
hf_burst,0.0,0.304,0.03243017941713333,1.0,1.496
hf_burst,0.0,0.312,0.0535430833697319,1.0,1.496
hf_burst,0.0,0.32,0.0730423629283905,1.0,1.496
hf_burst,0.0,0.328,0.09776429831981659,1.0,1.496
hf_burst,0.0,0.336,0.13557463884353638,1.0,1.496
hf_burst,0.0,0.344,0.15573443472385406,1.0,1.496
hf_burst,0.0,0.352,0.19876380264759064,1.0,1.496
hf_burst,0.0,0.36,0.2435062974691391,1.0,1.496
hf_burst,0.0,0.368,0.26738110184669495,1.0,1.496
hf_burst,0.0,0.376,0.3162323832511902,1.0,1.496
hf_burst,0.0,0.384,0.3520565927028656,1.0,1.496
hf_burst,0.0,0.392,0.362592875957489,1.0,1.496
hf_burst,0.0,0.4,0.4126870334148407,1.0,1.496
hf_burst,0.0,0.408,0.4196244478225708,1.0,1.496
hf_burst,0.0,0.416,0.42745447158813477,1.0,1.496
hf_burst,0.0,0.424,0.39562252163887024,1.0,1.496
hf_burst,0.0,0.432,0.3576003611087799,1.0,1.496
hf_burst,0.0,0.44,0.27624496817588806,1.0,1.496
hf_burst,0.0,0.448,0.20815396308898926,1.0,1.496
hf_burst,0.0,0.456,0.1449545919895172,1.0,1.496
hf_burst,0.0,0.464,0.08452658355236053,1.0,1.496
hf_burst,0.0,0.472,0.038473449647426605,1.0,1.496
hf_burst,0.0,0.48,-0.00301013863645494,1.0,1.496
hf_burst,0.0,0.488,-0.005714599043130875,1.0,1.496
hf_burst,0.0,0.496,-0.018172089010477066,1.0,1.496
hf_burst,0.0,0.504,-0.01984548754990101,1.0,1.496
hf_burst,0.0,0.512,-0.024632355198264122,1.0,1.496
hf_burst,0.0,0.52,-0.036699078977108,1.0,1.496
hf_burst,0.0,0.528,-0.025406815111637115,1.0,1.496
hf_burst,0.0,0.536,-0.03493639826774597,1.0,1.496
hf_burst,0.0,0.544,-0.0193412397056818,1.0,1.496
hf_burst,0.0,0.552,-0.023416191339492798,1.0,1.496
hf_burst,0.0,0.56,-0.02572103962302208,1.0,1.496
hf_burst,0.0,0.568,-0.03161697834730148,1.0,1.496
hf_burst,0.0,0.576,-0.02435753494501114,1.0,1.496
hf_burst,0.0,0.584,-0.017463233321905136,1.0,1.496
hf_burst,0.0,0.592,-0.01716524548828602,1.0,1.496
hf_burst,0.0,0.6,-0.025804398581385612,1.0,1.496
hf_burst,0.0,0.608,-0.010706126689910889,1.0,1.496
hf_burst,0.0,0.616,-0.01680336520075798,1.0,1.496
hf_burst,0.0,0.624,-0.015104186721146107,1.0,1.496
hf_burst,0.0,0.632,-0.008384764194488525,1.0,1.496
hf_burst,0.0,0.64,-0.00488272774964571,1.0,1.496
hf_burst,0.0,0.648,-0.011384274810552597,1.0,1.496
hf_burst,0.0,0.656,-0.01725451834499836,1.0,1.496
hf_burst,0.0,0.664,-0.014854442328214645,1.0,1.496
hf_burst,0.0,0.672,-0.03180530294775963,1.0,1.496
hf_burst,0.0,0.68,-0.01810060627758503,1.0,1.496
hf_burst,0.0,0.688,-0.040449611842632294,1.0,1.496
hf_burst,0.0,0.696,-0.04364219680428505,1.0,1.496
hf_burst,0.0,0.704,-0.03502814099192619,1.0,1.496
hf_burst,0.0,0.712,-0.05448772385716438,1.0,1.496
hf_burst,0.0,0.72,-0.05076759681105614,1.0,1.496
hf_burst,0.0,0.728,-0.045328132808208466,1.0,1.496
hf_burst,0.0,0.736,-0.05446115508675575,1.0,1.496
hf_burst,0.0,0.744,-0.057679131627082825,1.0,1.496
hf_burst,0.0,0.752,-0.06030106917023659,1.0,1.496
hf_burst,0.0,0.76,-0.06465383619070053,1.0,1.496
hf_burst,0.0,0.768,-0.06856810301542282,1.0,1.496
hf_burst,0.0,0.776,-0.05522856116294861,1.0,1.496
hf_burst,0.0,0.784,-0.07165344059467316,1.0,1.496
hf_burst,0.0,0.792,-0.07090336084365845,1.0,1.496
hf_burst,0.0,0.8,-0.0704120323061943,1.0,1.496
hf_burst,0.0,0.808,-0.0007487814873456955,1.0,1.496
hf_burst,0.0,0.816,0.025314314290881157,1.0,1.496
hf_burst,0.0,0.824,0.012726584449410439,1.0,1.496
hf_burst,0.0,0.832,0.03893008828163147,1.0,1.496
hf_burst,0.0,0.84,0.09225776046514511,1.0,1.496
hf_burst,0.0,0.848,0.10201693326234818,1.0,1.496
hf_burst,0.0,0.856,0.09314008802175522,1.0,1.496
hf_burst,0.0,0.864,0.09282808005809784,1.0,1.496
hf_burst,0.0,0.872,0.0819554552435875,1.0,1.496
hf_burst,0.0,0.88,-0.01219414733350277,1.0,1.496
hf_burst,0.0,0.888,-0.05362488701939583,1.0,1.496
hf_burst,0.0,0.896,-0.07783187925815582,1.0,1.496
hf_burst,0.0,0.904,-0.08765126764774323,1.0,1.496
hf_burst,0.0,0.912,-0.09694774448871613,1.0,1.496
hf_burst,0.0,0.92,-0.094217948615551,1.0,1.496
hf_burst,0.0,0.928,-0.08785059303045273,1.0,1.496
hf_burst,0.0,0.936,-0.10288713127374649,1.0,1.496
hf_burst,0.0,0.944,-0.08343233913183212,1.0,1.496
hf_burst,0.0,0.952,-0.08406466245651245,1.0,1.496
hf_burst,0.0,0.96,-0.10614751279354095,1.0,1.496
