direction,location,query,n,mean_delta_h_int,sem_delta_h_int,flip_rate,mean_delta_bad_logit
nearest_good_to_rescued_medium_query,Q_e,GM_BOUNDARY,124,5.702459375449126,0.2717571204767851,0.8225806451612904,0.0
nearest_good_to_rescued_medium_query,Q_e,BAD_STRESS,124,0.0,0.0,0.0,0.04583116500608383
nearest_good_to_rescued_medium_query,Q_e,BASELINE,124,0.0,0.0,0.0,0.0
nearest_good_to_rescued_medium_query,Q_e,CONTACT_RESET,124,0.0,0.0,0.0,0.0
nearest_good_to_rescued_medium_query,Q_e,DETAIL_NOISE,124,0.0,0.0,0.0,0.0
nearest_good_to_rescued_medium_query,Q_e,GLOBAL_MORPH,124,0.0,0.0,0.0,0.0
nearest_good_to_rescued_medium_query,Q_e,QRS,124,0.0,0.0,0.0,0.0
nearest_good_to_rescued_medium_query,Q_e,RR_TEMPLATE,124,0.0,0.0,0.0,0.0
nearest_good_to_rescued_medium_query,Z_Q,GM_BOUNDARY,124,5.64419475275903,0.26732149498761826,0.8145161290322581,0.0
nearest_good_to_rescued_medium_query,Z_Q,BAD_STRESS,124,0.0,0.0,0.0,0.013341073066957535
nearest_good_to_rescued_medium_query,Z_Q,BASELINE,124,0.0,0.0,0.0,0.0
nearest_good_to_rescued_medium_query,Z_Q,CONTACT_RESET,124,0.0,0.0,0.0,0.0
nearest_good_to_rescued_medium_query,Z_Q,DETAIL_NOISE,124,0.0,0.0,0.0,0.0
nearest_good_to_rescued_medium_query,Z_Q,GLOBAL_MORPH,124,0.0,0.0,0.0,0.0
nearest_good_to_rescued_medium_query,Z_Q,QRS,124,0.0,0.0,0.0,0.0
nearest_good_to_rescued_medium_query,Z_Q,RR_TEMPLATE,124,0.0,0.0,0.0,0.0
rescued_medium_to_nearest_good_query,Q_e,GM_BOUNDARY,124,5.702459375449126,0.2717571204767851,0.8225806451612904,0.0
rescued_medium_to_nearest_good_query,Q_e,BAD_STRESS,124,0.0,0.0,0.0,0.04583116500608383
rescued_medium_to_nearest_good_query,Q_e,BASELINE,124,0.0,0.0,0.0,0.0
rescued_medium_to_nearest_good_query,Q_e,CONTACT_RESET,124,0.0,0.0,0.0,0.0
rescued_medium_to_nearest_good_query,Q_e,DETAIL_NOISE,124,0.0,0.0,0.0,0.0
rescued_medium_to_nearest_good_query,Q_e,GLOBAL_MORPH,124,0.0,0.0,0.0,0.0
rescued_medium_to_nearest_good_query,Q_e,QRS,124,0.0,0.0,0.0,0.0
rescued_medium_to_nearest_good_query,Q_e,RR_TEMPLATE,124,0.0,0.0,0.0,0.0
rescued_medium_to_nearest_good_query,Z_Q,GM_BOUNDARY,124,5.629956302443339,0.2651608478195086,0.7903225806451613,0.0
rescued_medium_to_nearest_good_query,Z_Q,BAD_STRESS,124,0.0,0.0,0.0,0.07260429474615282
rescued_medium_to_nearest_good_query,Z_Q,BASELINE,124,0.0,0.0,0.0,0.0
rescued_medium_to_nearest_good_query,Z_Q,CONTACT_RESET,124,0.0,0.0,0.0,0.0
rescued_medium_to_nearest_good_query,Z_Q,DETAIL_NOISE,124,0.0,0.0,0.0,0.0
rescued_medium_to_nearest_good_query,Z_Q,GLOBAL_MORPH,124,0.0,0.0,0.0,0.0
rescued_medium_to_nearest_good_query,Z_Q,QRS,124,0.0,0.0,0.0,0.0
rescued_medium_to_nearest_good_query,Z_Q,RR_TEMPLATE,124,0.0,0.0,0.0,0.0
