query,task,auc,train_n,test_n
QRS,good_vs_medium,0.9850998353108057,13509,1685
QRS,bad_vs_nonbad,0.9997720199753926,14823,1849
RR_TEMPLATE,good_vs_medium,0.9861186243042783,13509,1685
RR_TEMPLATE,bad_vs_nonbad,0.9997720199753927,14823,1849
BASELINE,good_vs_medium,0.9868053301597605,13509,1685
BASELINE,bad_vs_nonbad,0.9999131504668162,14823,1849
CONTACT_RESET,good_vs_medium,0.9859292918364648,13509,1685
CONTACT_RESET,bad_vs_nonbad,0.9998805818918723,14823,1849
DETAIL_NOISE,good_vs_medium,0.9863830887037638,13509,1685
DETAIL_NOISE,bad_vs_nonbad,0.9996743142505609,14823,1849
GLOBAL_MORPH,good_vs_medium,0.9861922535973169,13509,1685
GLOBAL_MORPH,bad_vs_nonbad,0.9997466888615474,14823,1849
GM_BOUNDARY,good_vs_medium,0.9854845108009666,13509,1685
GM_BOUNDARY,bad_vs_nonbad,0.9998118260114351,14823,1849
BAD_STRESS,good_vs_medium,0.9854935266327671,13509,1685
BAD_STRESS,bad_vs_nonbad,0.9999348628501122,14823,1849
