perturbation,severity,n,accepted_n,accepted_rate,median_sqi_distance,mean_delta_conformer_medium_logit,mean_delta_conformer_bad_logit,mean_delta_mlp_gm_margin
emg_noise_floor,0.2,40,40,1.0,0.0027786952792358778,0.0030125081539154053,0.0010717272758483886,-0.0011762627733330143
emg_noise_floor,0.4,40,40,1.0,0.0027096427681557508,0.019998210668563842,0.004231894016265869,0.0061051456405343376
emg_noise_floor,0.6,40,40,1.0,0.003226660533544645,0.05362565517425537,0.010881245136260986,3.816779183354324e-05
emg_noise_floor,0.8,40,40,1.0,0.003745271797404981,0.10362000167369842,0.02001826763153076,0.0145340736393119
emg_noise_floor,1.0,40,40,1.0,0.004789259675972953,0.1731396347284317,0.034318852424621585,0.0076915605944108565
emg_noise_floor,1.2,40,40,1.0,0.006333875902385783,0.2593515455722809,0.05310102701187134,0.015119698988116461
emg_noise_floor,1.4,40,40,1.0,0.007216159549918888,0.35907489657402036,0.07784774303436279,0.00971642610783086
emg_noise_floor,1.6,40,40,1.0,0.008295241424996134,0.46422947347164156,0.10594253540039063,0.014584286911324823
emg_noise_floor,1.8,40,40,1.0,0.010476538020131619,0.5692708730697632,0.13487370014190675,0.02311378008542212
emg_noise_floor,2.0,40,40,1.0,0.012712198596958189,0.670404714345932,0.1634974956512451,0.03156322310550573
hf_burst,0.2,40,40,1.0,0.0014567053974099279,0.005957257747650146,0.001313161849975586,0.009193546759893414
hf_burst,0.4,40,40,1.0,0.0018953602512444738,0.03087173104286194,0.00543442964553833,0.011095019924215072
hf_burst,0.6,40,40,1.0,0.00331055572242074,0.08059253096580506,0.015211153030395507,0.01164917768644344
hf_burst,0.8,40,40,1.0,0.004218749512374612,0.1635451704263687,0.0354918360710144,0.017514533122868766
hf_burst,1.0,40,40,1.0,0.006086890171026515,0.2626776397228241,0.060155487060546874,0.019754202029065825
hf_burst,1.2,40,40,1.0,0.008225686521442743,0.36112384796142577,0.08456994295120239,0.015194446413895585
hf_burst,1.4,40,40,1.0,0.011147024269941998,0.4554182797670364,0.10966340303421021,0.014794986154177413
hf_burst,1.6,40,40,1.0,0.01414180784369716,0.540360352396965,0.13305455446243286,0.02330892555904271
hf_burst,1.8,40,40,1.0,0.01763157725488264,0.6147604823112488,0.15388758182525636,0.03603348392568001
hf_burst,2.0,40,40,1.0,0.02150632829448039,0.677925568819046,0.17082958221435546,0.03955467971772451
reset_spike,0.2,40,40,1.0,0.003935132696352981,0.002135050296783447,0.0013821721076965332,-0.007308050809882857
reset_spike,0.4,40,40,1.0,0.008166555025815876,0.011086112260818482,0.003985285758972168,-0.0047385934322131005
reset_spike,0.6,40,40,1.0,0.013253987290750207,0.026848757266998292,0.007421875,-0.005652757723393726
reset_spike,0.8,40,40,1.0,0.019876219414711488,0.055079662799835206,0.014528799057006835,-0.0010504781432772198
reset_spike,1.0,40,40,1.0,0.0258428521601666,0.09079993665218353,0.023335373401641844,0.00301759534230108
reset_spike,1.2,40,40,1.0,0.031613646657600365,0.13411311209201812,0.03383326530456543,0.005205067554279716
reset_spike,1.4,40,40,1.0,0.04122679905916138,0.1862179458141327,0.04669378995895386,0.011539358528262964
reset_spike,1.6,40,37,0.925,0.05742095220976852,0.20953725801931844,0.04711319949175861,0.013552448390862025
reset_spike,1.8,40,36,0.9,0.07065866041841648,0.2713159720102946,0.06384637620713976,0.022891648642036497
reset_spike,2.0,40,36,0.9,0.07921210906970294,0.33431775040096706,0.08475728829701741,0.030139317566308936
