pair_id,direction,intervention,clean_pred,patched_pred,delta_h_med,delta_bad_logit,flip,windows
0,necessity,top-local,medium,medium,-0.12407517433166504,0.16135501861572266,0,"[[0, 31], [148, 179], [208, 239]]"
0,necessity,random,medium,medium,-0.17015457153320312,0.15206527709960938,0,"[[13, 44], [65, 96], [388, 419]]"
0,necessity,same-class,medium,medium,-0.1291041374206543,0.12074470520019531,0,"[[0, 31], [148, 179], [208, 239]]"
0,necessity,donor global-mean,medium,medium,0.0064849853515625,-0.04665374755859375,0,"[[0, 31], [148, 179], [208, 239]]"
0,sufficiency,top-local,good,good,-0.03604555130004883,-0.01659107208251953,0,"[[0, 31], [148, 179], [208, 239]]"
0,sufficiency,random,good,good,-0.04609847068786621,-0.002079010009765625,0,"[[13, 44], [65, 96], [388, 419]]"
0,sufficiency,same-class,good,good,0.036092281341552734,-0.2855501174926758,0,"[[0, 31], [148, 179], [208, 239]]"
0,sufficiency,donor global-mean,good,good,-0.02947688102722168,0.002093791961669922,0,"[[0, 31], [148, 179], [208, 239]]"
1,necessity,top-local,medium,medium,0.11939680576324463,0.06360054016113281,0,"[[90, 121], [132, 163], [183, 214]]"
1,necessity,random,medium,medium,0.004076838493347168,-0.00015163421630859375,0,"[[353, 384], [477, 508], [136, 167]]"
1,necessity,same-class,medium,medium,0.042313575744628906,-0.024353981018066406,0,"[[90, 121], [132, 163], [183, 214]]"
1,necessity,donor global-mean,medium,medium,-0.0068738460540771484,-0.0123443603515625,0,"[[90, 121], [132, 163], [183, 214]]"
1,sufficiency,top-local,good,medium,0.5193425416946411,0.06734895706176758,1,"[[90, 121], [132, 163], [183, 214]]"
1,sufficiency,random,good,medium,0.3381294012069702,0.10546112060546875,1,"[[353, 384], [477, 508], [136, 167]]"
1,sufficiency,same-class,good,medium,1.0456029176712036,0.21995830535888672,1,"[[90, 121], [132, 163], [183, 214]]"
1,sufficiency,donor global-mean,good,medium,0.5330113172531128,0.09340095520019531,1,"[[90, 121], [132, 163], [183, 214]]"
2,necessity,top-local,medium,good,0.25972068309783936,0.2078847885131836,1,"[[451, 482], [161, 192], [417, 448]]"
2,necessity,random,medium,medium,0.02068805694580078,0.1851205825805664,0,"[[523, 554], [425, 456], [389, 420]]"
2,necessity,same-class,medium,medium,-0.9142838716506958,-0.1743907928466797,0,"[[451, 482], [161, 192], [417, 448]]"
2,necessity,donor global-mean,medium,good,0.33066725730895996,0.11830615997314453,1,"[[451, 482], [161, 192], [417, 448]]"
2,sufficiency,top-local,good,medium,0.4711412191390991,0.23120689392089844,1,"[[451, 482], [161, 192], [417, 448]]"
2,sufficiency,random,good,medium,0.3178607225418091,0.10205650329589844,1,"[[523, 554], [425, 456], [389, 420]]"
2,sufficiency,same-class,good,good,-0.038167715072631836,0.009644508361816406,0,"[[451, 482], [161, 192], [417, 448]]"
2,sufficiency,donor global-mean,good,good,-0.016014456748962402,-0.0037355422973632812,0,"[[451, 482], [161, 192], [417, 448]]"
3,necessity,top-local,medium,medium,0.04194521903991699,-0.02608966827392578,0,"[[110, 141], [72, 103], [366, 397]]"
3,necessity,random,medium,medium,-0.04322540760040283,-0.07340717315673828,0,"[[27, 58], [106, 137], [304, 335]]"
