train_poor_domain,test_poor_domain,train_n,val_n,test_n,threshold,test_Ac,Se,Sp,acceptable_positive_model_auc
original poor,original poor,699,150,149,0.6395000000000001,0.8993288590604027,0.9741379310344828,0.6363636363636364,0.9119644723093
original poor,em,699,150,157,0.6395000000000001,0.7388535031847133,0.9741379310344828,0.073170731707317,0.9331370899915896
original poor,ma,699,150,157,0.6395000000000001,0.9363057324840764,0.9741379310344828,0.8292682926829268,0.985281749369218
em,original poor,733,157,149,0.5535,0.7919463087248322,1.0,0.0606060606060606,0.4312957157784744
em,em,733,157,157,0.5535,1.0,1.0,1.0,1.0
em,ma,733,157,157,0.5535,0.9808917197452228,1.0,0.926829268292683,0.9993692178301092
ma,original poor,733,157,149,0.0845,0.7785234899328859,1.0,0.0,0.4323406478578893
ma,em,733,157,157,0.0845,0.8535031847133758,1.0,0.4390243902439024,0.9997897392767032
ma,ma,733,157,157,0.0845,0.9872611464968152,1.0,0.951219512195122,1.0
synthetic poor,original poor,925,198,149,0.224,0.7919463087248322,1.0,0.0606060606060606,0.4286833855799373
synthetic poor,em,925,198,157,0.224,1.0,1.0,1.0,1.0
synthetic poor,ma,925,198,157,0.224,1.0,1.0,1.0,1.0
