feature,auc,separability_auc,direction
I__basSQI,0.8941607855016241,0.8941607855016241,higher in acceptable
V2__bSQI,0.8897032612643068,0.8897032612643068,higher in acceptable
aVR__basSQI,0.8892405222173317,0.8892405222173317,higher in acceptable
III__kSQI,0.8876573354598689,0.8876573354598689,higher in acceptable
V4__basSQI,0.8811764784638066,0.8811764784638066,higher in acceptable
V5__basSQI,0.8797054201553397,0.8797054201553397,higher in acceptable
V6__basSQI,0.8760545513272159,0.8760545513272159,higher in acceptable
aVL__basSQI,0.8756562442994399,0.8756562442994399,higher in acceptable
V3__bSQI,0.875330737085564,0.875330737085564,higher in acceptable
V1__bSQI,0.8750964388339311,0.8750964388339311,higher in acceptable
V1__basSQI,0.874839547536605,0.874839547536605,higher in acceptable
II__basSQI,0.8726605737964184,0.8726605737964184,higher in acceptable
V3__basSQI,0.8701828697853995,0.8701828697853995,higher in acceptable
V2__basSQI,0.8643203928177545,0.8643203928177545,higher in acceptable
aVF__basSQI,0.8594762764652426,0.8594762764652426,higher in acceptable
V1__sSQI,0.14662886654873655,0.8533711334512635,higher in poor
II__bSQI,0.849431575705949,0.849431575705949,higher in acceptable
V6__bSQI,0.8481186687173343,0.8481186687173343,higher in acceptable
I__kSQI,0.8443489772044537,0.8443489772044537,higher in acceptable
V5__bSQI,0.8383007351944425,0.8383007351944425,higher in acceptable
aVR__kSQI,0.8359259550582481,0.8359259550582481,higher in acceptable
I__bSQI,0.8316274189202533,0.8316274189202533,higher in acceptable
aVL__kSQI,0.8295480219370105,0.8295480219370105,higher in acceptable
V5__kSQI,0.8267992013776738,0.8267992013776738,higher in acceptable
II__kSQI,0.8251850537798165,0.8251850537798165,higher in acceptable
V1__kSQI,0.8251214585400877,0.8251214585400877,higher in acceptable
V2__kSQI,0.8248461580944189,0.8248461580944189,higher in acceptable
V4__bSQI,0.8224278654257784,0.8224278654257784,higher in acceptable
V4__kSQI,0.8204748221425237,0.8204748221425237,higher in acceptable
aVR__bSQI,0.818360280421536,0.818360280421536,higher in acceptable
aVF__kSQI,0.817101764098479,0.817101764098479,higher in acceptable
V3__kSQI,0.8158825764105174,0.8158825764105174,higher in acceptable
III__bSQI,0.8149294845940531,0.8149294845940531,higher in acceptable
V6__kSQI,0.8121748065784254,0.8121748065784254,higher in acceptable
aVF__bSQI,0.811027581924894,0.811027581924894,higher in acceptable
aVL__bSQI,0.8035166494011168,0.8035166494011168,higher in acceptable
III__basSQI,0.7941154320543439,0.7941154320543439,higher in acceptable
aVF__iSQI,0.7731365339590212,0.7731365339590212,higher in acceptable
I__sSQI,0.7709215787016194,0.7709215787016194,higher in acceptable
V2__iSQI,0.7622943823647054,0.7622943823647054,higher in acceptable
V1__iSQI,0.7620349807289688,0.7620349807289688,higher in acceptable
V2__fSQI,0.7612174471866637,0.7612174471866637,higher in acceptable
V3__fSQI,0.7582585949803273,0.7582585949803273,higher in acceptable
V3__iSQI,0.7569080329155572,0.7569080329155572,higher in acceptable
III__iSQI,0.7567607597288164,0.7567607597288164,higher in acceptable
V2__sSQI,0.24355721646982822,0.7564427835301718,higher in poor
V6__sSQI,0.7529994360106371,0.7529994360106371,higher in acceptable
aVR__fSQI,0.7509602044419601,0.7509602044419601,higher in acceptable
V1__fSQI,0.7501175675155515,0.7501175675155515,higher in acceptable
aVL__iSQI,0.7496079688182498,0.7496079688182498,higher in acceptable
II__iSQI,0.7453479245358803,0.7453479245358803,higher in acceptable
I__iSQI,0.7443596879816712,0.7443596879816712,higher in acceptable
V6__iSQI,0.7434886005532786,0.7434886005532786,higher in acceptable
aVR__sSQI,0.25657164756856987,0.7434283524314301,higher in poor
V4__fSQI,0.7374052138055223,0.7374052138055223,higher in acceptable
aVR__iSQI,0.7344296260097836,0.7344296260097836,higher in acceptable
V5__iSQI,0.7328188255298069,0.7328188255298069,higher in acceptable
aVL__fSQI,0.7301243956360277,0.7301243956360277,higher in acceptable
I__fSQI,0.7292767380327985,0.7292767380327985,higher in acceptable
V4__iSQI,0.7288700632103212,0.7288700632103212,higher in acceptable
aVF__fSQI,0.7282416418282628,0.7282416418282628,higher in acceptable
V5__fSQI,0.7261840011112431,0.7261840011112431,higher in acceptable
V6__fSQI,0.7246518579014575,0.7246518579014575,higher in acceptable
II__fSQI,0.7222243606586459,0.7222243606586459,higher in acceptable
III__fSQI,0.7144080036282758,0.7144080036282758,higher in acceptable
V5__sSQI,0.7127495067185023,0.7127495067185023,higher in acceptable
aVL__sSQI,0.690692836665668,0.690692836665668,higher in acceptable
V1__pSQI,0.667734955123517,0.667734955123517,higher in acceptable
II__sSQI,0.6605436723573249,0.6605436723573249,higher in acceptable
V2__pSQI,0.6345457710002359,0.6345457710002359,higher in acceptable
V3__sSQI,0.3770386039840744,0.6229613960159256,higher in poor
V3__pSQI,0.6171993325846947,0.6171993325846947,higher in acceptable
I__pSQI,0.6077428877928938,0.6077428877928938,higher in acceptable
II__pSQI,0.6048559986209874,0.6048559986209874,higher in acceptable
V6__pSQI,0.5995608581340822,0.5995608581340822,higher in acceptable
V4__sSQI,0.5981341491375314,0.5981341491375314,higher in acceptable
III__sSQI,0.4031001005808923,0.5968998994191077,higher in poor
aVR__pSQI,0.5956899163053174,0.5956899163053174,higher in acceptable
aVF__pSQI,0.588709501965595,0.588709501965595,higher in acceptable
V4__pSQI,0.5856912384168801,0.5856912384168801,higher in acceptable
III__pSQI,0.5819684065543262,0.5819684065543262,higher in acceptable
aVL__pSQI,0.5738583399299448,0.5738583399299448,higher in acceptable
V5__pSQI,0.5710894366633251,0.5710894366633251,higher in acceptable
aVF__sSQI,0.5226591512713191,0.5226591512713191,higher in acceptable
